"","home","away","homescore","awayscore","mtype"
"102","Spain","Norway",2,1,"Qualifying Group Stage"
"103","Spain","Romania",5,0,"Qualifying Group Stage"
"104","Spain","Faroe Islands",4,0,"Qualifying Group Stage"
"105","Spain","Malta",7,0,"Qualifying Group Stage"
"106","Sweden","Spain",1,1,"Qualifying Group Stage"
"107","Sweden","Norway",1,1,"Qualifying Group Stage"
"108","Sweden","Romania",2,1,"Qualifying Group Stage"
"109","Sweden","Faroe Islands",3,0,"Qualifying Group Stage"
"110","Sweden","Malta",3,0,"Qualifying Group Stage"
"111","Norway","Spain",1,1,"Qualifying Group Stage"
"112","Norway","Sweden",3,3,"Qualifying Group Stage"
"113","Norway","Romania",2,2,"Qualifying Group Stage"
"114","Norway","Faroe Islands",4,0,"Qualifying Group Stage"
"115","Norway","Malta",2,0,"Qualifying Group Stage"
"116","Romania","Spain",1,2,"Qualifying Group Stage"
"117","Romania","Sweden",0,2,"Qualifying Group Stage"
"118","Romania","Norway",1,1,"Qualifying Group Stage"
"119","Romania","Faroe Islands",4,1,"Qualifying Group Stage"
"120","Romania","Malta",1,0,"Qualifying Group Stage"
"121","Faroe Islands","Spain",1,4,"Qualifying Group Stage"
"122","Faroe Islands","Sweden",0,4,"Qualifying Group Stage"
"123","Faroe Islands","Norway",0,2,"Qualifying Group Stage"
"124","Faroe Islands","Romania",0,3,"Qualifying Group Stage"
"125","Faroe Islands","Malta",1,0,"Qualifying Group Stage"
"126","Malta","Spain",0,2,"Qualifying Group Stage"
"127","Malta","Sweden",0,4,"Qualifying Group Stage"
"128","Malta","Norway",1,2,"Qualifying Group Stage"
"129","Malta","Romania",0,4,"Qualifying Group Stage"
"130","Malta","Faroe Islands",2,1,"Qualifying Group Stage"
"131","Poland","Austria",0,0,"Qualifying Group Stage"
"132","Poland","North Macedonia",2,0,"Qualifying Group Stage"
"133","Poland","Slovenia",3,2,"Qualifying Group Stage"
"134","Poland","Israel",4,0,"Qualifying Group Stage"
"135","Poland","Latvia",2,0,"Qualifying Group Stage"
"136","Austria","Poland",0,1,"Qualifying Group Stage"
"137","Austria","North Macedonia",2,1,"Qualifying Group Stage"
"138","Austria","Slovenia",1,0,"Qualifying Group Stage"
"139","Austria","Israel",3,1,"Qualifying Group Stage"
"140","Austria","Latvia",6,0,"Qualifying Group Stage"
"141","North Macedonia","Poland",0,1,"Qualifying Group Stage"
"142","North Macedonia","Austria",1,4,"Qualifying Group Stage"
"143","North Macedonia","Slovenia",2,1,"Qualifying Group Stage"
"144","North Macedonia","Israel",1,0,"Qualifying Group Stage"
"145","North Macedonia","Latvia",3,1,"Qualifying Group Stage"
"146","Slovenia","Poland",2,0,"Qualifying Group Stage"
"147","Slovenia","Austria",0,1,"Qualifying Group Stage"
"148","Slovenia","North Macedonia",1,1,"Qualifying Group Stage"
"149","Slovenia","Israel",3,2,"Qualifying Group Stage"
"150","Slovenia","Latvia",1,0,"Qualifying Group Stage"
"151","Israel","Poland",1,2,"Qualifying Group Stage"
"152","Israel","Austria",4,2,"Qualifying Group Stage"
"153","Israel","North Macedonia",1,1,"Qualifying Group Stage"
"154","Israel","Slovenia",1,1,"Qualifying Group Stage"
"155","Israel","Latvia",3,1,"Qualifying Group Stage"
"156","Latvia","Poland",0,3,"Qualifying Group Stage"
"157","Latvia","Austria",1,0,"Qualifying Group Stage"
"158","Latvia","North Macedonia",0,2,"Qualifying Group Stage"
